time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,p_prob,choice_kind,choice_id,choice_heading,choice_alt,choice_score,cmds
2025-10-24 23:22:25,-1.243062,6.901758,243.6,-26.4,-178.2,0.00,90.00,1.00,FuelLeak,0.76,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:22:35,200.000000,1.000000,0.0,39.8,-104.6,-1.23,6.90,243.65,FuelLeak,0.69,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:22:45,-26.438766,-178.180327,0.0,90.0,1.0,200.00,1.00,0.00,FuelLeak,0.73,vision,west_field,,,15.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:22:55,39.774438,-104.600658,-1.2,6.9,243.7,-26.46,-178.19,0.00,EngineFailure,0.48,,,,,,
2025-10-24 23:22:56,89.980646,1.000000,200.0,1.0,0.0,39.77,-104.60,-1.23,EngineFailure,0.71,vision,nearby_field,,,40.900000000000006,hdg=360.0;alt=200.0;thr=0.0
2025-10-24 23:23:14,6.900910,243.744158,-26.5,-178.2,0.0,270.00,1.00,200.00,FuelLeak,0.78,vision,north_field,,,40.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-24 23:23:24,1.000000,0.000000,39.8,-104.6,-1.2,6.90,243.79,-26.48,FuelLeak,0.78,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:23:33,-178.219685,-7.935682,90.0,1.0,200.0,1.00,0.00,39.77,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:23:44,-104.600658,-1.220720,6.9,243.8,-26.5,-178.23,0.00,90.00,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:23:53,1.000000,200.000000,1.0,0.0,39.8,-104.60,-1.22,6.90,FuelLeak,0.59,vision,west_field,,,40.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:24:02,243.922032,-26.484025,-178.3,-0.0,0.0,1.00,200.00,1.00,FuelLeak,0.76,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:24:13,0.000000,39.774438,-104.6,-1.2,6.9,243.99,-26.48,-178.29,FuelLeak,0.67,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:24:22,0.000529,90.000449,1.0,200.0,1.0,0.00,39.77,-104.60,FuelLeak,0.72,vision,north_field,,,15.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-24 23:24:34,-1.215160,6.902033,244.0,-26.5,-178.3,-0.00,89.99,1.00,FuelLeak,0.76,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:24:43,200.000000,1.000000,0.0,39.8,-104.6,-1.21,6.90,244.09,FuelLeak,0.69,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:24:56,-26.473751,-178.331095,-0.0,270.0,1.0,200.00,1.00,0.00,FuelLeak,0.73,vision,west_field,,,15.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:25:07,39.774438,-104.600658,-1.2,6.9,244.1,-26.47,-178.36,-0.00,EngineFailure,0.48,,,,,,
2025-10-24 23:25:08,39.774438,-104.600658,-1.2,6.9,244.2,-26.47,-178.36,0.00,EngineFailure,0.48,,,,,,
2025-10-24 23:25:10,90.020000,1.000000,200.0,1.0,0.0,39.77,-104.60,-1.21,EngineFailure,0.71,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:25:20,6.902070,244.229178,-26.5,-178.4,-0.0,0.00,1.00,200.00,FuelLeak,0.78,vision,north_field,,,40.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-24 23:25:31,1.000000,0.000000,39.8,-104.6,-1.2,6.90,244.32,-26.45,FuelLeak,0.78,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:25:41,-178.450126,-0.000313,90.0,1.0,200.0,1.00,0.00,39.77,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:25:57,-104.600658,-1.210685,6.9,244.4,-26.4,-178.49,0.00,90.00,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:26:08,1.000000,200.000000,1.0,0.0,39.8,-104.60,-1.21,6.90,FuelLeak,0.59,vision,west_field,,,40.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:26:18,244.473310,-26.427936,-178.5,-0.0,90.0,1.00,200.00,1.00,FuelLeak,0.77,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:26:29,0.000000,39.774438,-104.6,-1.2,6.9,244.54,-26.42,-178.57,FuelLeak,0.67,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:26:39,0.000422,270.000349,1.0,200.0,1.0,0.00,39.77,-104.60,FuelLeak,0.72,vision,nearby_field,,,40.900000000000006,hdg=45.0;alt=200.0;thr=0.0
2025-10-24 23:26:49,-1.209548,6.902087,244.6,-26.4,-178.6,-0.00,89.98,1.00,FuelLeak,0.76,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
